Product SKU,Serial,Status,Owner,Location
SIM_4G,20121011,Available,OPERATOR,WH1
SIM_4G,20121111,Available,OPERATOR,WH1
SIM_4G,20121211,Available,OPERATOR,WH1
SIM_4G,20121311,Available,OPERATOR,WH1
SIM_4G,20121411,Available,OPERATOR,WH1
SIM_4G,20121511,Available,OPERATOR,WH1
SIM_4G,20121611,Available,OPERATOR,WH1
SIM_4G,20121711,Available,OPERATOR,WH1
SIM_4G,20121811,Available,OPERATOR,WH1
SIM_4G,20121911,Available,OPERATOR,WH1
SIM_4G,20121101,Available,OPERATOR,WH1
SIM_4G,20121121,Available,OPERATOR,WH1
SIM_4G,20121131,Available,OPERATOR,WH1
SIM_4G,20121141,Available,OPERATOR,WH1
SIM_4G,20121151,Available,OPERATOR,WH1
SIM_4G,20121161,Available,OPERATOR,WH1
