Product SKU,Serial,Status,Owner,Location
SIM_4G,156220,Available,Operator,BankAppDealer1
SIM_4G,156221,Available,Operator,BankAppDealer1
SIM_4G,156222,Available,Operator,BankAppDealer1
SIM_4G,156223,Available,Operator,BankAppDealer1
SIM_4G,156224,Available,Operator,BankAppDealer1
SIM_4G,156225,Available,Operator,BankAppDealer1
SIM_4G,156226,Available,Operator,BankAppDealer1
SIM_4G,156227,Available,Operator,BankAppDealer1
SIM_4G,156228,Available,Operator,BankAppDealer1
SIM_4G,156229,Available,Operator,BankAppDealer1
SIM_4G,156230,Available,Operator,BankAppDealer1
SIM_4G,156231,Available,Operator,BankAppDealer1
SIM_4G,156232,Available,Operator,BankAppDealer1
SIM_4G,156233,Available,Operator,BankAppDealer1
SIM_4G,156234,Available,Operator,BankAppDealer1
SIM_4G,156235,Available,Operator,BankAppDealer1
SIM_4G,156236,Available,Operator,BankAppDealer1
SIM_5G,156237,Available,Operator,BankAppDealer1
SIM_5G,156238,Available,Operator,BankAppDealer1
SIM_5G,156239,Available,Operator,BankAppDealer1
SIM_5G,156240,Available,Operator,BankAppDealer1
SIM_5G,156241,Available,Operator,BankAppDealer1
SIM_5G,156242,Available,Operator,BankAppDealer1
