Product SKU,Serial,Status,Owner,Location
SIM_4G,6101010,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,6101011,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,6101012,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,6101013,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,6101014,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,6101015,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,6101016,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,6101017,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,6101018,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,6101019,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101110,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101111,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101112,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101113,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101114,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101115,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101116,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101117,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101118,Available,SUB-DIST1-1,SUB-DIST1-1
Sim-5G,6101119,Available,SUB-DIST1-1,SUB-DIST1-1
SIM_4G,156243,Available,Operator,WH1
SIM_4G,156244,Available,Operator,WH1
SIM_4G,156245,Available,Operator,WH1
SIM_4G,156246,Available,Operator,WH1
SIM_4G,156247,Available,Operator,WH1
